ID,TITLE,DESCRIPTION,REASON,IN_GROUP,STATUS,DATE,START,FINISH,REPETITION
1,"Take a shower","",,F,1,09/19/2024,,,1
2,"Water plants","",,F,2,09/19/2024,,,1
3,"Give myself some sunshine","I've needing more D-vitamine at least I guess so, I'm wetto asf",,F,1,09/19/2024,,,1
4,"Buy chips","",,F,2,09/19/2024,,,1
5,"Scriptures Study","",,F,1,09/19/2024,11:00,11:15,1
6,"Lunch","Eat something healthy",,F,2,09/19/2024,12:00,,1
7,"Free time","",,F,2,09/19/2024,01:02,,1
8,"Math Study","Some description for my math class this is a course I purchased yey",,F,1,09/19/2024,13:00,,1
9,"Portuguese Study","","The teacher canceled for some illness",F,3,09/19/2024,15:00,,1
10,Smth here,some cool description to show how i care about understanding my tasks,,F,1,09/19/2024,,,2
